가거도,1789,3552,5497,NNP,지명,F,가거도,*,*,*,*
가거도리,1789,3552,5497,NNP,지명,F,가거도리,Compound,*,*,가거도/NNP/지명+리/NNG/*
가경,1789,3553,5567,NNP,지명,T,가경,*,*,*,*
가경동,1789,3553,5497,NNP,지명,T,가경동,Compound,*,*,가경/NNP/지명+동/NNG/*
가계,1789,3552,5566,NNP,지명,F,가계,*,*,*,*
가계리,1789,3552,5497,NNP,지명,F,가계리,Compound,*,*,가계/NNP/지명+리/NNG/*
가고,1789,3552,6024,NNP,지명,F,가고,*,*,*,*
가고리,1789,3552,5497,NNP,지명,F,가고리,Compound,*,*,가고/NNP/지명+리/NNG/*
가곡,1789,3553,5198,NNP,지명,T,가곡,*,*,*,*
가곡동,1789,3553,5497,NNP,지명,T,가곡동,Compound,*,*,가곡/NNP/지명+동/NNG/*
가곡리,1789,3552,5497,NNP,지명,F,가곡리,Compound,*,*,가곡/NNP/지명+리/NNG/*
가곡면,1789,3553,5497,NNP,지명,T,가곡면,Compound,*,*,가곡/NNP/지명+면/NNG/*
가공,1789,3553,5225,NNP,지명,T,가공,*,*,*,*
가공리,1789,3552,5497,NNP,지명,F,가공리,Compound,*,*,가공/NNP/지명+리/NNG/*
가교,1789,3552,5753,NNP,지명,F,가교,*,*,*,*
가교리,1789,3552,5497,NNP,지명,F,가교리,Compound,*,*,가교/NNP/지명+리/NNG/*
가구,1789,3552,5299,NNP,지명,F,가구,*,*,*,*
가구리,1789,3552,5497,NNP,지명,F,가구리,Compound,*,*,가구/NNP/지명+리/NNG/*
가금,1789,3553,5510,NNP,지명,T,가금,*,*,*,*
가금리,1789,3552,5497,NNP,지명,F,가금리,Compound,*,*,가금/NNP/지명+리/NNG/*
가금면,1789,3553,5497,NNP,지명,T,가금면,Compound,*,*,가금/NNP/지명+면/NNG/*
가남,1789,3553,5605,NNP,지명,T,가남,*,*,*,*
가남리,1789,3552,5497,NNP,지명,F,가남리,Compound,*,*,가남/NNP/지명+리/NNG/*
가남면,1789,3553,5497,NNP,지명,T,가남면,Compound,*,*,가남/NNP/지명+면/NNG/*
가납,1789,3553,5506,NNP,지명,T,가납,*,*,*,*
가납리,1789,3552,5245,NNP,지명,F,가납리,Compound,*,*,가납/NNP/지명+리/NNG/*
가내,1789,3552,5803,NNP,지명,F,가내,*,*,*,*
가내리,1789,3552,5499,NNP,지명,F,가내리,Compound,*,*,가내/NNP/지명+리/NNG/*
가능,1789,3553,4238,NNP,지명,T,가능,*,*,*,*
가능동,1789,3553,5497,NNP,지명,T,가능동,Compound,*,*,가능/NNP/지명+동/NNG/*
가담,1789,3553,4760,NNP,지명,T,가담,*,*,*,*
가담리,1789,3552,5497,NNP,지명,F,가담리,Compound,*,*,가담/NNP/지명+리/NNG/*
가당,1789,3553,5818,NNP,지명,T,가당,*,*,*,*
