가,489,3554,8084,JKS+NP,*,F,가,Inflect,JKS,NP,가/JKS/*+누구/NP/*
가,489,1043,7872,JKS+NP+JKS,*,F,가,Inflect,JKS,JKS,가/JKS/*+누구/NP/*+가/JKS/*
가,1806,3,5257,VCP+EC,*,F,가,Inflect,VCP,EC,이/VCP/*+가/EC/*
가,1806,5,5556,VCP+EF,*,F,가,Inflect,VCP,EF,이/VCP/*+ㄴ가/EF/*
가,1806,1043,5759,VCP+JKS,*,F,가,Inflect,VCP,JKS,이/VCP/*+가/JKS/*
가,2420,3577,3980,VV,*,F,가,Inflect,VV,VV,갈/VV/*
가,2420,3,2747,VV+EC,*,F,가,Inflect,VV,EC,가/VV/*+아/EC/*
가,2420,5,4801,VV+EF,*,F,가,Inflect,VV,EF,가/VV/*+ㅏ/EF/*
가,2421,3,5685,VX+EC,*,F,가,Inflect,VX,EC,가/VX/*+아/EC/*
가,2421,5,6514,VX+EF,*,F,가,Inflect,VX,EF,가/VX/*+아/EF/*
가겔,1780,576,2853,NNG+JKO,*,T,가겔,Inflect,NNG,JKO,가게/NNG/*+ㄹ/JKO/*
가까와,1804,3,1684,VA+EC,*,F,가까와,Inflect,VA,EC,가깝/VA/*+아/EC/*
가까와,1804,3,424,VA+EC+VX+EC,*,F,가까와,Inflect,VA,EC,가깝/VA/*+어/EC/*+오/VX/*+아/EC/*
가까와,1804,5,2255,VA+EF,*,F,가까와,Inflect,VA,EF,가깝/VA/*+아/EF/*
가까와도,1804,3,424,VA+EC+VX+EC,*,F,가까와도,Inflect,VA,EC,가깝/VA/*+어/EC/*+오/VX/*+아도/EC/*
가까와서,1804,3,424,VA+EC+VX+EC,*,F,가까와서,Inflect,VA,EC,가깝/VA/*+어/EC/*+오/VX/*+아서/EC/*
가까와왔,1804,8,338,VA+EC+VX+EP,*,T,가까와왔,Inflect,VA,EP,가깝/VA/*+어/EC/*+오/VX/*+았/EP/*
가까와져,1804,3,424,VA+EC+VX+EC,*,F,가까와져,Inflect,VA,EC,가깝/VA/*+어/EC/*+지/VX/*+어/EC/*
가까와졌,1804,8,0,VA+EC+VX+EC+VX+EP,*,T,가까와졌,Inflect,VA,EP,가깝/VA/*+어/EC/*+오/VX/*+아/EC/*+지/VX/*+었/EP/*
가까와졌,1804,8,338,VA+EC+VX+EP,*,T,가까와졌,Inflect,VA,EP,가깝/VA/*+어/EC/*+지/VX/*+었/EP/*
가까와졌,2420,8,658,VV+EC+VX+EP,*,T,가까와졌,Inflect,VV,EP,가깝/VV/*+아/EC/*+지/VX/*+었/EP/*
가까와졌으나,1804,3,-588,VA+EC+VX+EP+EC,*,F,가까와졌으나,Inflect,VA,EC,가깝/VA/*+어/EC/*+지/VX/*+었/EP/*+으나/EC/*
가까와질,1804,10,582,VA+EC+VX+ETM,*,T,가까와질,Inflect,VA,ETM,가깝/VA/*+어/EC/*+지/VX/*+ᆯ/ETM/*
가까와질수록,1804,4,424,VA+EC+VX+EC,*,T,가까와질수록,Inflect,VA,EC,가깝/VA/*+어/EC/*+지/VX/*+ᆯ수록/EC/*
가까와짐,1804,12,0,VA+EC+VX+EC+VX+ETN,*,T,가까와짐,Inflect,VA,ETN,가깝/VA/*+어/EC/*+오/VX/*+아/EC/*+지/VX/*+ᄆ/ETN/*
가까와짐,1804,12,519,VA+EC+VX+ETN,*,T,가까와짐,Inflect,VA,ETN,가깝/VA/*+어/EC/*+지/VX/*+ᄆ/ETN/*
가까왔,1804,8,739,VA+EC+VX+EP,*,T,가까왔,Inflect,VA,EP,가깝/VA/*+어/EC/*+오/VX/*+았/EP/*
가까왔,1804,8,1046,VA+EP,*,T,가까왔,Inflect,VA,EP,가깝/VA/*+았/EP/*
가까왔으므로,1804,3,-588,VA+EC+VX+EP+EC,*,F,가까왔으므로,Inflect,VA,EC,가깝/VA/*+어/EC/*+오/VX/*+았/EP/*+으므로/EC/*
가까우,1804,3571,4403,VA,*,F,가까우,Inflect,VA,VA,가깝/VA/*
가까우나,1804,3,1684,VA+EC,*,F,가까우나,Inflect,VA,EC,가깝/VA/*+으나/EC/*
가까우니까,1804,3,1201,VA+EC,*,F,가까우니까,Inflect,VA,EC,가깝/VA/*+으니까/EC/*
가까우리라는,1804,10,915,VA+ETM,*,T,가까우리라는,Inflect,VA,ETM,가깝/VA/*+으리라는/ETM/*
가까우리만치,1804,3,1684,VA+EC,*,F,가까우리만치,Inflect,VA,EC,가깝/VA/*+으리만치/EC/*
가까우며,1804,3,1684,VA+EC,*,F,가까우며,Inflect,VA,EC,가깝/VA/*+으며/EC/*
가까우면,1804,4,1700,VA+EC,*,T,가까우면,Inflect,VA,EC,가깝/VA/*+으면/EC/*
