,comment,macrolabel,microlabel,source
0,절라남도 벌레?,혐오발언,지역,온라인 댓글
1,부산에서 학식먹었는데 mt 동기mt 동아리mt 단한번도 해운대 안감 부산 현지인들이 다른데가야한다해서 안감 존나 더러운거 아니깐 ㅋㅋ,혐오발언,지역,온라인 댓글
2,쌍도 여혐끝판왕의성지,혐오발언,지역,온라인 댓글
3,제목보고 전라도 직감,혐오발언,지역,온라인 댓글
4,홍어지 병신아 ㅋㅋㅋ,혐오발언,지역,온라인 댓글
5,홍어짓인듯...,혐오발언,지역,온라인 댓글
6,어휴 전라도 사투리컨셉잡고 노는새끼들이ㅋㅋㅋㅋㅋㅋㅋ전라도사투리 나왔다고 전라도면ㅋㅋㅋㅋㅋㅋㅋㅋㅋ여기 있는새끼들 절반이 홍어냐?,혐오발언,지역,온라인 댓글
7,호남2중대 ㅁㅈㅎ,혐오발언,지역,온라인 댓글
8,시발 경상도새끼들 작작해라경기도 밑으로 분리독립 시키면 안되나,혐오발언,지역,온라인 댓글
9,머구놈들 정의로운척 쩌네,혐오발언,지역,온라인 댓글
10,이거 일베충반 홍어반이 아니라 홍어가 철이네 철이야ㅋㅋㅋㅋㅋㅋㅋ 물보다 홍어가 많노 이기이기,혐오발언,지역,온라인 댓글
11,하여간 우덜식이노우덜이니 씨발,혐오발언,지역,온라인 댓글
12,지가 전라도면서,혐오발언,지역,온라인 댓글
13,전라도색기들은 말하는게 참........... 이상해............ ;;;;;;;;;;;;,혐오발언,지역,온라인 댓글
14,마 시팔 당당하게 윤보선하고 선거해서... 고무신 받은 전라도 몰표받고 당선됐다 이기야!!!! 유신 전까지는 민주성과 관련해서 하자가 없었음.,혐오발언,지역,온라인 댓글
15,홍어새끼들 개좆같음,혐오발언,지역,온라인 댓글
16,강라디언이 또..,혐오발언,지역,온라인 댓글
17,죽은 홍어도 존나 개새끼다 시발,혐오발언,지역,온라인 댓글
18,시체도 강간하는 경상도보단..,혐오발언,지역,온라인 댓글
19,홍들홍들ㅋㅋ홍어샊히들 존나많네,혐오발언,지역,온라인 댓글
20,부산 ㅁㅈㅎ 좆병신들 가면 조또 할것도 없고,혐오발언,지역,온라인 댓글
21,멍청도식 오랜만이노 이기,혐오발언,지역,온라인 댓글
22,조만간 전라도에서 최연소 기록 갱신한다,혐오발언,지역,온라인 댓글
23,전라도 기자넘은 기사에 내용도 없고 제놈도 무슨 말 하는지 모를고 선동만 절라 해댐,혐오발언,지역,온라인 댓글
24,전라도? 끄덕끄덕 .. 대체 얼마나 날림공사를 한거냐 시팔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
25,경상도 여자들 자기가 속아서 문재인찍어놓은게 열받아서 저렇게 글쓰는듯전부 출세한 사람들 전라도 사람들,혐오발언,지역,온라인 댓글
26,문재인 지지율은 이미 전국 75%~80%인 상황이라 다 잘한다고 박수치고 있는데 통베충들만 왕따 중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ반면 씹그네 지지율은 10%대 아래로 폭락한 상황에서도 대구경북에서는 잘하고 있다고 60%이상이 지지함. 누가 진짜 또라이인지!?!?,혐오발언,지역,온라인 댓글
27,나머지>>>>>>씹넘사>>>>>병신허세+부심좆되는 쌍도>>>>통수홍어ㅇㄱㄹㅇ ㅂㅂㅂㄱ,혐오발언,지역,온라인 댓글
28,전라도 사람들이 머리좋고 영리하긴 하더라경상도놈들 무식한건 전국민이 다 알고,혐오발언,지역,온라인 댓글
29,슨상고향 ㅁㅈㅎ ㅋㅋ,혐오발언,지역,온라인 댓글
30,캬 전라도를 통수,혐오발언,지역,온라인 댓글
31,김보름 마녀사냥 보면 알수있지...특히 심한곳은 전라도종특,혐오발언,지역,온라인 댓글
32,"600명의 광수를 찾읍시다. 광수야. 어디서 사니? 어디로 갔니? 광주에서 사니? 호남에서 사니? 남한에서 사니? 살았니? 죽었니? 광수야. 너가 나타나야. 이 나라가 평온해 진단다. 39년이 흘렀는데, 찾았는데. 죽었니? 살았니? 죽었다면, 유족은 어디에 사니? 600명 광수는. 5.18 유공자란다. 5.18에 왔다가 어디로 갔니. 남한에서 사니? 북한에서 사니? 600명의 광수는 어디로 갔을까?",혐오발언,지역,온라인 댓글
33,ㅋㅋㅋㅋ맞노 쌍도남들 재기해라,혐오발언,지역,온라인 댓글
34,홍어급 피해망상,혐오발언,지역,온라인 댓글
35,이게 강호의 도리다전라도 홍어들과 차이점임,혐오발언,지역,온라인 댓글
36,양비론 펼치지마라 6 25때 더 남쪽인데도 홍어만 빨갱이 한테 넘어간점 경부고속 산업화 다반대하다 나라가 자리 잡자 김치녀 처럼 숟가락 들이미는 점지금은 나라다 망해가는데 지들이익 때문에 문재인 지지하는점 호남향우회 카르텔로 선량한 2030일자리 뺏은점홍어는 박멸이 답이고 불매가 답이야,혐오발언,지역,온라인 댓글
37,아우 언제부터 쌍도까면 홍어가 됐냐? 밑에지방새끼들 하여간 개병신같다 그냥 홍어랑 쌍도랑 따로 나라차려서 꺼져라,혐오발언,지역,온라인 댓글
38,머구는 지하철 광고도 참,혐오발언,지역,온라인 댓글
39,"아 진짜 하프 쌍돈데.. 너네 이러는거 안 쪽팔리냐?? 우리 아빠는 차 충돌사고 났었는데 같은 쌍도라고 봐 줬다가 계속 후유증으로 고생한다.. 진짜 같은 고향이면 이해를 하는데 무작정 전라도라고, 경상도라고 너무 띄워주는거 아니냐? 경기도 사는 사람중에 김연아가 군포 출신이라고 경기도민 전체가 김연아 빨진 않어,, 군포시민이면 또 모를까.. 암튼 너네도 좀 자제해라 전라도랑 다를게 없음 하는 짓은",혐오발언,지역,온라인 댓글
40,사람패죽이고싶으면 라도에가면되는고만~~ 1년6개월이면 군대보다 짧네,혐오발언,지역,온라인 댓글
41,솔직히 지역감정 일으키고 열등감 느끼는건 대구경북이지.전라도애들은 인구 절반 빠진거 봐서서울시민이 30%이상일텐데전라도사람들 서울에서 자리잡을때 뭐했노?쿠데타 독재 지역주의에만 의존했지노력을 생각을 안해노? 어떻게 지역소득 꼴찌냐? 최저임금도 안주고?,혐오발언,지역,온라인 댓글
42,개쌍도? 끄덕끄덕,혐오발언,지역,온라인 댓글
43,친가 경기도 외가 멍청도인데 전라도라는 말뒤에 항상 개새끼들이 붙는다.그 절라도오~ 개쌕들~,혐오발언,지역,온라인 댓글
44,그래서 진주가 어디냐전라도냐 경상도냐진주 시발 ㅋㅋㅋㅋ 들어본적도 없다,혐오발언,지역,온라인 댓글
45,홍어 까발리는글은 ㅇㅂ,혐오발언,지역,온라인 댓글
46,가끔이런글에 충청도가 더한다는 애들이있는데 저거 빗말은 아니다...충청도에서 23년 살았는데 80퍼는 진짜 착하고 20퍼는 악질이라 보면 된다...내가보기엔 이 20퍼들은 대부분 홍어나 하프홍어 일거다.. 착한 충청도인 등처먹으러온애들이 분명하다 홍어시키들ㅅㅂ,혐오발언,지역,온라인 댓글
47,ㅋㅋ. 전라도 아줌씨의 무식함 ㅋ,혐오발언,지역,온라인 댓글
48,일단 여기까지 확인된~30인 전라도 홍어새끼들 ㅋㅋ,혐오발언,지역,온라인 댓글
49,정모씨외 123명= 조또 할짓없는 라도쌍도 종자들.. 그러니까 씨발넘들아 표준어랑 거의 비슷한 감자국언어를 익히란말이야,혐오발언,지역,온라인 댓글
50,전라도새기들 이번사건 관심도없더라ㅋㅋ나보고 지랄한다 허위사실퍼오지마라고,혐오발언,지역,온라인 댓글
51,머구는 애초에 최저시급주지도않으면서 ㅋㅋ,혐오발언,지역,온라인 댓글
52,전라도새끼들은 전멸시키는게 답,혐오발언,지역,온라인 댓글
53,일베에서 라도부심소리까지 나오냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그게 아니지,혐오발언,지역,온라인 댓글
54,서울말써라 둘다 외국어잖아,혐오발언,지역,온라인 댓글
55,홍어를 싸그리 정리해야함,혐오발언,지역,온라인 댓글
56,"이유는 전라도vs다수 의 싸움에서 다수의 대장을 쌍도라판단 해서임. 상징성,정통성을 가진 쌍도를 우두머리라 인식 공격하는거임. 결국 쌍도가 무너지면 영향력 없는 타지역들은 저절로 복속된다는걸 본능적으로 알기 때문임. 이건 뭐 거의 정신병자 수준인데? ㅋㅋㅋㅋ",혐오발언,지역,온라인 댓글
57,ㅋㅋㅋ전라도글에 대구라고하면 피꺼솟하는게이들 반응좀해주지마라ㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
58,나련 아는 목포남도 입에서 바다비린내 나던데 후팔 아가리 꼬매고 싶었노,혐오발언,지역,온라인 댓글
59,홍어 씹쌔끼 몇마리 벌써 풀발기하고 가만히 있는 경상도 건드리네 ㅋㅋ,혐오발언,지역,온라인 댓글
60,설라디언 : 억양 전라도화 되어 전라도사람이 표준어만 쓰면 구별못함.,혐오발언,지역,온라인 댓글
61,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ제발 사투리쓰는새끼들 서울에오지마라 좆미개 ^오^ ....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
62,라도식 밥상머리 교육ㅇㅂ,혐오발언,지역,온라인 댓글
63,글쓴 새끼 홍어 대깨문,혐오발언,지역,온라인 댓글
64,탈홍어 애국보수 김관진장세동과 버금가는 탈홍어의 예,혐오발언,지역,온라인 댓글
65,"정말 개쓰래기 더 쓰래기 가튼건 그짝 주민왈 ""젊은 사람들이 술마시고 그럴수도있쟈""아휴 내입이더러워진다",혐오발언,지역,온라인 댓글
66,8번 대중공간에서 시끄럽게 떠들고 통화큰소리로하기.....어라???.... 이거 개쌍도새끼들 특징 아님???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
67,전남에 양심가게가 3개뿌이고 ㅋㅋ,혐오발언,지역,온라인 댓글
68,전라도유전자 518% 섞임,혐오발언,지역,온라인 댓글
69,ㄹㅇ 씨바새끼들 특징이더라첨본 사람인데도 어 이새끼 말좀 통하네? 싶으면 홍어더라첨엔 상대방 듣기 좋은말만 해줌 ㅋㅋ거기에 속는거다그러다 친해지면 좆되는거다변사체됨,혐오발언,지역,온라인 댓글
70,저새끼 살인저지른것만 보면 그짝놈이라해도 이상할게 없어보임,혐오발언,지역,온라인 댓글
71,ㅁㅈㅎ홍어찌릉내 오질나구연~~~~~~~~~~~~~~~^^,혐오발언,지역,온라인 댓글
72,씨발 대구 동구는 ㄹㅇ 사람 살 곳이 못된다 전투기 소음때문에 사람 노이로제 걸림. 집값 싸도 사람들이 동구로 이사 안 오는 이유가 다 있음,혐오발언,지역,온라인 댓글
73,전라도는 준법정신이 없다고 보면된다아 물론 난 전라도 사람이다,혐오발언,지역,온라인 댓글
74,광주사태 희생자 <200명^^김대중정권 자살자 한해1만8천명^^,혐오발언,지역,온라인 댓글
75,ㅅㅂ 대구도 홍어 멀티구만 지들은 ㅈㄴ다른척 하고 있었네,혐오발언,지역,온라인 댓글
76,경남 답다...,혐오발언,지역,온라인 댓글
77,홍어끼리 모이는것도 똑같네,혐오발언,지역,온라인 댓글
78,쌍부심ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
79,ㄹㅇ 동급인 촌놈새끼들끼리 싸우긴 왜 싸워,혐오발언,지역,온라인 댓글
80,성자썰 올리던 웜련인데 안터지는게 이상했노^^ 그동네는 노콘 안해주면 술값안낸다 내상^^이다 좆지랄나는 동네노 삿스가 쌍도남,혐오발언,지역,온라인 댓글
81,쌍도나 라도나 표준어 안 써서 ㅁㅈㅎ,혐오발언,지역,온라인 댓글
82,아내가 대전이 고향이라던 여수출신 고향세탁홍어에게뒤통수 쳐맞고인생망가진 빙신이다.,혐오발언,지역,온라인 댓글
83,?? 전라도 애들 인터넷 안하는거 같던데?지가 전라도라는 새끼들 아예 없잖아. 경상도랑 서울밖에 안보이는구만,혐오발언,지역,온라인 댓글
84,광주 자택서 검거,혐오발언,지역,온라인 댓글
85,역시 개쌍도라서 그런지 뇌가 온전하지 못한 새끼들이 많음,혐오발언,지역,온라인 댓글
86,일베가 졌다... 세월호 사망자 어묵이랑 광주 시체 사진 홍어제철로도 비빌수가 없다 어묵하고 시체홍어 까지만해도 일베가 1순위라고 생각했는데.. 행동하는 년들은 이길수가 없다 비빌라면 단원고 가서 어묵의 후예들은 운지하라고 시위하거나 해야된다..,혐오발언,지역,온라인 댓글
87,개쌍도 최고 아웃풋 ㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
88,경상도 욕하는새끼들중에 서울새끼들은 자격없다 설라디언이 대부분에 박원순뽑은 멍청한 개좆병신새끼드림,혐오발언,지역,온라인 댓글
89,전라도사는 1퍼셎트는 정치얘기 속으로만 삭히고있겠네 ㅋㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
90,광주 전남.. 열차타고 .. 김대중 가는날..,혐오발언,지역,온라인 댓글
91,"전라도 깽깽이녀"" 입만 열면 거짓말에 모함 전라도는 과학이다.",혐오발언,지역,온라인 댓글
92,홍어도 거른다는거지,혐오발언,지역,온라인 댓글
93,경상도친구있는데 친해지기쉬움전라도친구있는데 아직까지통수안당함특수한케이스냐?,혐오발언,지역,온라인 댓글
94,"수도권인구 2500만중 약40%가 전라도출신 또는2.3세들 입니다.그기에 동화된 20~40대 젊은유권자들 때문에 나라및 市정이 엉망으로 돌아가도 아무도 모르고 있었다는게 개탄스럽습니다. 국방 외교 경제 최소20년 후퇴됬습니다. 국민분열 좌우분열 세대분열, 이젠 불신이 극에달하고 아무리 나쁜짓을 해도 내편은 감싸고 도는 정치행태...휴",혐오발언,지역,온라인 댓글
95,쌍도 새끼들 돌았네,혐오발언,지역,온라인 댓글
96,개쌍도도 조져야함 ㅋㅋ 홍어 개쌍도 둘다 땅크로 밀어버리자,혐오발언,지역,온라인 댓글
97,역시 의리와인물들이 많이나는 갓상도. 한국하면 갓상도아이겠盧?,혐오발언,지역,온라인 댓글
98,요즘 충청도도 북홍어라 불림,혐오발언,지역,온라인 댓글
99,일베가 쌍도를 까는 날이 오네 ㅋㅋㅋㅋ나 쌍도아닌데 이제 일베가 망할때가 왓다 ㄹㅇ유입존나많고 원래있던 멤버들 빠져나가고 고렙 숨어있는 통베충들도 슬슬 고개를 드네,혐오발언,지역,온라인 댓글
100,쌍도새끼들 오늘하루종일 쉐도우복싱잼,혐오발언,지역,온라인 댓글
101,홍어는 과학이랑께,혐오발언,지역,온라인 댓글
102,저열한 전라도 패거리들...저러니 전국 왕따 당하지..,혐오발언,지역,온라인 댓글
103,홍어스포머보소~~~,혐오발언,지역,온라인 댓글
104,쌍도 역적의 고장,혐오발언,지역,온라인 댓글
105,광주비엔날레에서 닥ㅈㅎ,혐오발언,지역,온라인 댓글
106,그냥 노예통구이새끼들이라서 그런거임,혐오발언,지역,온라인 댓글
107,역씨 개쌍도 똥푸산 견찰이 하면 제대로 하는게없음보지 진급이나 시킬줄 알지,혐오발언,지역,온라인 댓글
108,전라도 제대로 털면 ㄹㅇ 간첩들넘쳐날듯,혐오발언,지역,온라인 댓글
109,진짜 상상만 해도 극혐이다 ㅅㅂ전라도 씨발새끼들은 대체 염치라는게 없냐?,혐오발언,지역,온라인 댓글
110,전라발찌시급ㅅㅂ,혐오발언,지역,온라인 댓글
111,전라도 경상도새끼들 존나시끄럽다서울에살고 조상님도. 서울에사셨다미개한 경상전라 새끼들 짜져살어라 냄새난다,혐오발언,지역,온라인 댓글
112,통궈 새끼들 유입드립 지리네 그냥 홍통일체지 씨발 뭐만하면 홍어유입이라고 핑계오지네,혐오발언,지역,온라인 댓글
113,설라도 수준보소ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오발언,지역,온라인 댓글
114,솔직히 설리 까는 애들은 어디 사이트를 불문하고 다 홍어 아니냐? 그 특유의 전형적인 시기심 투쟁 승리 뭐 그런거 말이다 빨갱이 버릇말이다,혐오발언,지역,온라인 댓글
115,고담시 대구 존나 시끄럽고 나대는새끼들 많은곳이 대구 아니노,혐오발언,지역,온라인 댓글
116,명불허전 사스가 광주,혐오발언,지역,온라인 댓글
117,아버지가예전 유머1번지 매기 병장 닮았노암튼 홍어 혐오는 ㅇㅂ,혐오발언,지역,온라인 댓글
118,강원도 사람이니까 일베 아니네 휴~,혐오발언,지역,온라인 댓글
119,노잼떡밥이 시작됨으로써 통베가 개좆노잼이되고동접수는 급격히 떨어지고 짤게는병신글로 넘치며홍어들도 성공했다며 오유로돌아가고 통베는망하는데,혐오발언,지역,온라인 댓글
